PDB,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
4c7b_FDL_B_decoys_3,-15.6494,1.88925,6.99666,-3.54067,-1.68766,0,-13.6677,551.341,1,0.629782,1,0.471008,0.746809,0.253191,1338,267,326,0,623,121,145,0,80,14,21,0,431,87,100,0,0,0,0,0,77,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,12,-20217.73948,1,8,0,0,0,0,-2.9,47.39,0.55,83.01,414.69,0
4ccb_OFG_A_decoys_1,-27.2013,4.57171,11.8711,-12.8001,-0.793099,-0.482876,-27.8189,805.98,2,0.619571,8,0.324782,0.665469,0.334531,3080,877,983,33,941,254,281,11,516,138,153,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,0,17,9,-79418.03623,2,13,0,0,0,0,0.1,41.1,0.4,110.44,547.59,0
4ccb_OFG_A_decoys_2,-21.6176,2.79823,7.54188,-3.64913,0,0,-16.8486,705.241,0,0.624827,4,0.284779,0.698487,0.301513,2195,634,696,20,473,137,149,5,702,203,227,6,359,120,123,3,0,0,0,0,195,53,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,12,5,-37590.19618,0,5,0,0,0,0,-1.7,61.51,0.43,116.41,470.99,0
4ccb_OFG_A_decoys_3,-25.9101,10.2943,0.943252,-5.38982,-0.345329,0,-26.2752,800.92,1,0.628478,0,0.375367,0.786418,0.213582,3095,858,939,37,501,142,155,7,752,209,226,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,25,3,-43233.07423,1,32,0,0,0,0,0.9,45.38,0.3,97.92,522.45,0
4ce1_7FK_A_decoys_2,-27.8758,11.9507,3.66933,-1.28639,0,0,-19.6976,747.921,0,0.677091,2,0.391272,0.726978,0.273022,4002,1014,1243,26,0,0,0,0,714,188,236,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,7,8,1,0,-139562.1019,0,25,0,0,0,0,-0.8,28.2,0.83,68.15,629.89,0
4ce1_7FK_A_decoys_4,-27.3915,8.92679,8.01713,-10.8833,0,-0.376931,-26.164,634.627,1,0.700991,6,0.324925,0.665708,0.334292,2590,614,746,18,581,135,161,4,190,48,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,95,115,3,0,0,0,0,30,25,13,5,0,7,-101711.8507,3,11,0,0,0,0,-1.8,33.05,0.23,59.97,332.88,0
4ce2_BO5_A_decoys_1,-23.099,5.78234,11.5378,-7.91756,0,-1.25951,-18.048,753.695,1,0.668065,3,0.364787,0.610868,0.389132,3761,976,1177,25,0,0,0,0,589,150,179,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,19,2,0,0,-225039.2343,1,13,0,0,0,0,1.8,24.3,0.71,70.67,585.73,0
4ce2_BO5_A_decoys_3,-22.0767,127.127,5.72602,2.84547,0,0,55.7801,643.589,0,0.620443,4,0.389372,0.714197,0.285803,3202,842,1018,20,372,97,116,2,481,125,151,3,0,0,0,0,0,0,0,0,0,0,0,0,220,49,55,1,0,0,0,0,0,0,0,0,31,15,11,5,5,1,56592.33922,0,13,0,0,0,0,1.8,45.63,0.05,85.34,390.78,0
4ce2_BO5_A_decoys_4,-25.879,7.79335,13.059,-12.7733,-1.15451,-1.02418,-23.1898,639.436,2,0.699975,4,0.346495,0.700348,0.299652,2194,594,680,13,365,95,113,2,394,107,120,2,0,0,0,0,0,0,0,0,180,49,56,1,0,0,0,0,221,47,58,1,0,0,0,0,18,36,6,0,11,2,-14968.32026,2,7,0,0,0,0,-0.4,25.48,0.54,63.4,446.76,0
4ce3_L4V_A_decoys_1,-22.8871,21.0329,14.392,-3.94434,0,-0.830557,-2.04027,648.36,1,0.650869,6,0.356662,0.609733,0.390267,2410,613,722,13,827,199,231,5,0,0,0,0,0,0,0,0,0,0,0,0,223,52,61,1,283,72,93,2,0,0,0,0,0,0,0,0,35,32,6,5,0,0,78370.91702,2,9,0,0,0,0,-7.3,28.5,0.38,99.62,362.65,0
4ce3_L4V_A_decoys_2,-26.407,25.051,9.23753,-5.25495,0,-1.04479,-8.14998,633.049,1,0.663164,6,0.359955,0.710464,0.289536,2869,706,861,16,389,103,119,2,426,96,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,38,48,1,0,0,0,0,22,40,7,7,6,1,69125.02298,1,14,0,0,0,0,-0.3,32.3,0.2,76.11,359.08,0
4ce3_L4V_A_decoys_4,-22.3861,5.51065,12.8404,-11.7199,0,-1.07288,-18.8859,629.839,1,0.677715,4,0.348176,0.725249,0.274751,2088,565,659,13,354,94,108,2,365,100,115,2,0,0,0,0,0,0,0,0,172,49,56,1,0,0,0,0,217,50,60,1,0,0,0,0,18,31,8,1,8,1,40362.24747,2,9,0,0,0,0,0.1,25.48,0.54,63.4,441.39,0
4ce3_L4V_A_decoys_5,-19.0515,4.13932,6.86605,1.25074,0,0,-9.71578,619.764,0,0.692067,5,0.317125,0.744064,0.255936,1960,489,598,11,384,95,114,2,333,86,110,2,0,0,0,0,0,0,0,0,167,43,57,1,0,0,0,0,214,46,56,1,0,0,0,0,23,16,6,8,0,0,4238.016848,0,8,0,0,0,0,0.6,25.46,0.45,63.4,380.62,0
4cfn_JYM_A_decoys_1,-25.2402,161.616,9.50487,-1.2137,-2.14E-05,0,72.3547,725.552,1,0.607176,9,0.311999,0.708808,0.291192,3076,800,866,0,787,203,196,0,333,94,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,0,34,2,-9549.188628,0,21,0,0,0,0,0.9,36.52,0.29,100.86,422.61,0
4cfn_JYM_A_decoys_2,-20.1954,3.89191,6.09419,-10.4851,-0.79672,-1.09323,-24.5779,592.63,2,0.608718,5,0.364571,0.661295,0.338705,2233,591,644,0,322,84,91,0,725,177,190,0,0,0,0,0,0,0,0,0,0,0,0,0,75,22,23,0,0,0,0,0,0,0,0,0,0,37,5,0,21,6,-106640.0924,2,14,0,0,0,0,-0.7,45.06,0.07,98.64,378.14,0
4cfn_JYM_A_decoys_3,-30.7701,8.2323,7.87213,-9.81443,-0.85221,0,-30.8863,737.954,1,0.603014,6,0.337641,0.684062,0.315938,2603,652,731,0,814,213,232,0,144,35,38,0,0,0,0,0,0,0,0,0,169,42,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,56,7,-130233.5273,1,19,0,0,0,0,-1.4,38.2,0.2,93.26,442.08,0
4cfv_75X_A_decoys_1,-36.4243,9.69474,10.1281,-6.07914,-0.450832,0,-28.0712,859.478,1,0.615443,8,0.273734,0.702502,0.297498,3613,901,956,0,985,245,260,0,202,47,53,0,0,0,0,0,0,0,0,0,400,101,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,27,4,-239779.4221,2,18,0,0,1,1,2.4,42.98,0.37,82.75,540.89,0
4cfv_75X_A_decoys_2,-29.7619,7.55969,9.20308,-8.86862,-1.74439,-0.592262,-27.5016,826.982,3,0.631667,6,0.327265,0.6476,0.3524,3131,803,820,0,717,185,192,0,153,37,40,0,0,0,0,0,0,0,0,0,189,44,49,0,108,29,27,0,0,0,0,0,0,0,0,0,6,55,2,0,28,0,-160642.1729,3,22,0,0,1,0,1.2,43.86,0.26,71.25,503.67,0
4cfv_75X_A_decoys_3,-20.6846,96.7617,7.80463,-2.6082,0,0,37.3116,707.503,0,0.521073,6,0.340791,0.758828,0.241172,3610,928,965,0,674,164,175,0,330,83,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,4,0,32,0,-199538.7451,1,21,0,0,0,0,3.2,43.38,0.18,96.95,506.75,0
4cgf_UJ6_A_decoys_1,-24.9701,4.54483,8.21489,-7.14359,-1.27227,0,-24.041,649.343,1,0.596998,6,0.321275,0.702791,0.297209,2212,616,634,24,511,146,137,5,327,98,99,3,0,0,0,0,0,0,0,0,119,38,36,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,21,9,0,7,-149471.1956,1,15,0,0,0,0,-1.7,39.42,0.07,91.92,413.86,0
4cgf_UJ6_A_decoys_2,-22.2003,3.84714,9.49392,-5.18822,-1.88128,0,-18.928,694.45,1,0.637632,5,0.337744,0.703015,0.296985,1944,542,567,24,277,73,80,4,489,146,142,5,0,0,0,0,0,0,0,0,158,42,49,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,4,0,10,-174943.7121,3,8,0,0,0,0,-4.3,35.03,0.6,78.87,463.7,0
4cgf_UJ6_A_decoys_3,-24.289,5.29869,8.46148,-1.57095,0,0,-17.0078,669.727,0,0.617455,5,0.305003,0.696775,0.303225,2182,610,642,22,356,98,96,4,646,176,189,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,10,13,0,1,111707.5717,1,21,0,0,0,0,-1.2,41.8,0.06,88.41,372.03,0
4cgh_LOZ_A_decoys_1,-23.3613,3.41882,14.4702,-9.40132,0,-1.17558,-18.3872,670.858,1,0.59406,2,0.34907,0.662076,0.337924,1336,372,397,14,729,217,221,7,269,76,77,3,384,111,111,3,0,0,0,0,303,82,93,3,0,0,0,0,0,0,0,0,0,0,0,0,44,0,22,5,0,15,-138023.9809,1,7,0,0,0,0,-1.7,55.84,0.3,122.36,378.45,0
4cgh_LOZ_A_decoys_2,-34.2909,5.17295,12.0127,-6.77774,-3.03203,0,-30.2726,821.867,3,0.593503,3,0.300987,0.690795,0.309205,2782,788,810,29,476,133,146,4,238,68,68,3,0,0,0,0,0,0,0,0,0,0,0,0,187,48,56,2,0,0,0,0,0,0,0,0,42,0,21,7,0,20,-224428.8647,3,19,0,0,0,0,-2.5,46.33,0.24,89.15,562.52,0
4cgh_LOZ_A_decoys_3,-22.9293,3.76055,15.7352,-8.46138,0,-1.24911,-14.9198,690.531,2,0.607086,3,0.402019,0.623384,0.376616,1959,534,579,17,438,127,131,2,311,84,96,1,556,140,152,6,0,0,0,0,80,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,19,18,0,0,-232781.8011,2,9,0,0,1,0,-4.3,58.17,0.2,113.65,441.4,0
4cgn_7AH_A_decoys_1,-27.9615,5.88589,6.93119,-0.156557,-0.917197,0,-19.9985,718.261,1,0.699075,6,0.308296,0.80365,0.19635,2932,630,790,32,639,135,168,7,225,42,49,2,0,0,0,0,0,0,0,0,218,46,58,2,0,0,0,0,177,39,55,1,0,0,0,0,0,56,8,0,3,8,-43603.02213,1,24,1,0,0,0,1.6,35.78,0.21,53.16,395.8,0
4cgn_7AH_A_decoys_2,-29.5277,6.66625,8.49746,-4.81679,-0.632562,0,-24.2945,759.074,1,0.693247,6,0.299233,0.791767,0.208233,3111,684,848,29,410,89,106,3,424,88,107,3,0,0,0,0,0,0,0,0,210,45,53,2,0,0,0,0,171,38,54,2,0,0,0,0,0,59,8,0,6,25,48012.31154,1,29,1,0,0,0,2.8,38.44,0.2,72.19,456.25,0
4cgn_7AH_A_decoys_3,-26.7766,5.32865,12.1681,-7.4019,0,-1.3506,-20.989,779.216,2,0.687552,7,0.254691,0.778448,0.221552,2460,546,656,22,400,92,112,4,416,97,114,4,0,0,0,0,0,0,0,0,407,95,118,3,0,0,0,0,226,45,53,3,0,0,0,0,0,64,5,0,17,6,-51406.2218,2,17,0,0,0,0,2.3,38.3,0.17,72.19,404.86,0
4cj4_S3G_A_decoys_1,-22.933,2.48825,9.19808,-3.5918,0,0,-17.1065,615.747,0,0.590953,5,0.468959,0.576174,0.423826,1870,553,585,22,340,104,97,3,438,116,131,5,0,0,0,0,0,0,0,0,63,22,23,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,6,0,25,15084.44005,1,18,0,0,0,0,-5,44.88,0.11,91.32,486.63,0
4cj4_S3G_A_decoys_2,-29.361,4.79661,9.38482,-7.19855,0,-0.754696,-26.4453,698.946,1,0.569862,4,0.40063,0.602778,0.397222,2360,666,708,26,249,73,75,3,525,144,167,5,0,0,0,0,0,0,0,0,110,31,33,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,16,12,0,22,98085.46814,1,25,0,0,0,0,-3.9,50.14,0.11,88.41,514.66,0
4cj4_S3G_A_decoys_3,-29.2841,5.09403,3.90539,-0.952957,0,-1.50761,-24.7469,665.292,1,0.566954,4,0.430497,0.587174,0.412826,2405,670,712,27,158,42,46,2,469,141,145,5,0,0,0,0,0,0,0,0,334,88,100,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,28,6,0,10,52008.32502,1,13,0,0,0,0,-7.1,50.11,0.11,87.07,479.21,0
4cj5_4VW_A_decoys_1,-25.7478,3.83042,11.2627,-6.07853,0,-1.2826,-19.924,673.205,1,0.602307,5,0.397505,0.582124,0.417876,2045,587,605,22,285,79,83,3,541,140,161,5,0,0,0,0,0,0,0,0,282,78,81,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,21,11,0,16,-3883.43225,1,13,0,0,0,0,-2.4,43.94,0.25,106.33,529.85,0
4cj5_4VW_A_decoys_2,-16.8243,3.65881,6.61823,-9.94735,0,-1.13443,-19.7276,580.553,2,0.627936,1,0.525139,0.603258,0.396742,1596,468,513,18,199,60,62,2,431,120,138,3,100,35,42,1,0,0,0,0,90,25,31,1,125,32,40,2,0,0,0,0,0,0,0,0,26,0,17,5,0,0,89583.37331,3,8,0,0,0,0,-6.3,66.77,0.19,98.49,514.21,0
4cj5_4VW_A_decoys_3,-16.1985,4.19911,8.0338,-5.38828,-1.44921,0,-13.0248,494.568,1,0.596449,3,0.625269,0.660976,0.339024,1968,550,593,24,0,0,0,0,542,139,164,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,5,0,9,-27537.75619,1,13,0,0,0,0,-11.2,33.98,0.68,86.99,567.14,0
4cje_Q31_A_decoys_1,-28.2736,5.16902,12.0879,-9.66551,-2.50163,-0.453267,-26.559,720.689,3,0.564579,3,0.401364,0.666936,0.333064,1897,526,559,21,577,161,177,6,379,98,114,4,0,0,0,0,0,0,0,0,158,43,46,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,28,14,0,29,-106397.558,4,18,0,0,0,0,-1.8,41.48,0.29,107.2,512.32,0
4cje_Q31_A_decoys_2,-27.1576,5.16705,7.81022,-6.45466,0,-0.787365,-23.9396,700.095,1,0.572215,4,0.451549,0.603284,0.396716,2259,627,678,23,600,163,176,7,298,77,84,2,0,0,0,0,0,0,0,0,134,39,42,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,36,7,0,12,-22486.63938,1,15,0,0,0,0,-2.8,45.25,0.2,102.9,547.41,0
4cje_Q31_A_decoys_3,-24.8367,3.8967,12.5584,-8.4684,-1.75992,0,-21.152,710.037,3,0.583626,7,0.470302,0.53707,0.46293,1997,576,612,18,415,119,122,3,420,121,118,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,14,18,0,20,-259117.8326,4,9,0,0,0,0,-5.3,42.44,0.25,96.53,551.74,0
4cjk_H39_A_decoys_1,-17.1446,3.18934,11.4976,-9.23175,-1.26246,0,-14.261,628.025,1,0.544252,3,0.457317,0.636659,0.363341,1874,537,569,20,155,51,50,1,425,124,131,5,476,130,142,6,0,0,0,0,118,38,32,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,14,7,0,12,-80329.56915,1,6,0,0,0,0,-7.4,64.43,0.18,115.56,522.34,0
4cjk_H39_A_decoys_2,-26.4594,1019.98,9.08217,-2.13011,0,0,540.438,641.037,0,0.572619,2,0.488561,0.653169,0.346831,2084,582,651,24,175,50,55,4,438,115,124,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,8,29,0,1,-92226.51876,1,28,0,0,0,0,-10.5,38.16,0.57,104.73,625.61,0
4cjk_H39_A_decoys_3,-26.6423,5.95497,7.58704,-7.63527,-1.269,-0.555306,-25.8071,659.454,2,0.563036,1,0.462698,0.619581,0.380419,1959,572,615,24,386,113,114,4,398,113,116,3,0,0,0,0,0,0,0,0,148,41,46,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,13,11,0,31,-27699.24894,2,26,0,0,0,0,-5.7,43.51,0.32,87.3,548.09,0
4cjl_9PA_A_decoys_1,-11.5948,1.66345,2.45801,-0.895526,0,0,-10.5364,389.02,0,0.604129,0,0.691326,0.518984,0.481016,791,280,267,16,106,38,36,3,115,41,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,22,-1907.261721,0,16,1,0,1,0,-7.4,37.39,0.3,90.46,551.33,0
4cjl_9PA_A_decoys_2,-15.1331,2.46875,6.12932,-4.3911,0,-1.55129,-13.4606,418.957,1,0.593653,3,0.668164,0.541564,0.458436,1033,358,321,18,0,0,0,0,213,74,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,10,-163362.7429,1,7,0,0,0,0,-8,42.95,0.43,99.38,592.33,0
4cjl_9PA_A_decoys_3,-19.7483,3.37121,5.93469,-8.41757,-1.96564,0,-21.7528,426.371,3,0.621105,2,0.665753,0.556917,0.443083,1026,344,346,20,165,56,61,3,96,25,37,3,0,0,0,0,0,0,0,0,0,0,0,0,55,18,20,1,0,0,0,0,0,0,0,0,11,0,18,0,0,48,-51801.63388,2,21,0,0,0,0,-4.6,41.44,0.3,90.46,566.91,0
4cjp_4D2_A_decoys_1,-24.9818,5.4581,4.91024,-3.55487,-1.18365,0,-22.1665,614.697,1,0.59142,1,0.478395,0.654928,0.345072,2173,621,643,29,117,37,33,1,471,136,140,7,0,0,0,0,0,0,0,0,135,42,39,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,5,0,27,-57889.44526,1,15,0,0,0,0,-3.5,37.36,0.53,92.7,524.06,0
4cjp_4D2_A_decoys_2,-25.1439,4.4723,11.0279,-7.32572,-1.62465,-1.69889,-22.6972,680.37,2,0.58092,3,0.427193,0.644891,0.355109,2467,696,708,27,131,41,35,1,592,173,172,7,0,0,0,0,0,0,0,0,98,30,29,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,4,0,16,-307003.0469,2,9,0,0,0,1,-2.2,37.36,0.55,92.7,521.02,0
4cjp_4D2_A_decoys_3,-25.7696,4.27938,12.6925,-6.26523,0,-0.400043,-19.3701,714.281,1,0.597048,3,0.389545,0.655121,0.344879,2040,584,592,20,251,68,74,3,461,131,133,3,0,0,0,0,0,0,0,0,334,90,96,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,8,4,0,27,-342954.4264,2,13,0,0,0,2,-4,41.07,0.29,86.71,455.46,0
4ck3_K1T_A_decoys_1,-27.9641,3.90049,11.8741,-11.6791,-1.05111,-2.38433,-29.3041,608.089,3,0.598288,4,0.474355,0.668296,0.331704,1892,546,567,23,285,80,78,3,635,181,191,8,0,0,0,0,0,0,0,0,169,46,51,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,35,3,0,28,-203093.3517,5,14,0,0,0,0,-6.2,49.9,0.12,127.95,475.33,0
4ck3_K1T_A_decoys_2,-28.3103,6.50827,4.62218,-6.53083,-2.02343,0,-28.4854,718.845,2,0.585794,3,0.443325,0.599629,0.400371,2226,612,654,24,439,121,130,5,358,106,103,4,0,0,0,0,0,0,0,0,66,16,18,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,17,6,0,25,-204977.1056,3,21,0,0,0,0,-5.4,36.5,0.47,91.49,560.65,0
4ck3_K1T_A_decoys_3,-25.9109,4.68846,13.1275,-10.781,0,-2.98336,-24.5027,662.392,2,0.609903,5,0.377039,0.582695,0.417305,1740,487,532,18,354,101,104,4,347,99,98,3,0,0,0,0,0,0,0,0,205,62,65,2,0,0,0,0,0,0,0,0,0,0,0,0,68,0,31,3,0,17,-150514.7609,2,20,0,0,0,0,-4.5,44.24,0.21,97.36,460.1,0
4cmo_YPW_A_decoys_1,-24.5695,5.18182,8.56501,-5.64588,-0.444679,0,-19.8082,783.319,1,0.610275,6,0.33967,0.688193,0.311807,2606,771,794,27,548,147,166,5,686,204,221,6,0,0,0,0,0,0,0,0,207,52,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,7,8,-14951.40678,1,8,0,0,0,0,-1.1,52.22,0.22,90.08,492.86,0
4cmo_YPW_A_decoys_2,-27.0878,61.5952,7.59444,-3.94257,0,0,10.1308,794.68,0,0.638677,10,0.250394,0.645789,0.354211,3194,923,971,37,338,88,110,3,985,278,309,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,0,5,25,-104917.9941,1,15,0,0,0,0,1.5,45.3,0.35,116.95,529.38,0
4cmo_YPW_A_decoys_3,-23.0951,4.02016,12.5908,-7.46447,0,-1.35146,-17.8313,851.73,1,0.632934,6,0.30949,0.635079,0.364921,2608,765,808,31,478,147,151,6,843,233,244,8,0,0,0,0,0,0,0,0,113,38,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,2,7,-245718.3619,1,10,0,0,0,0,0.4,39.69,0.56,113.6,574.54,0
4cmu_IV7_A_decoys_1,-18.0017,5.04498,1.85411,-2.72365,0,0,-17.3051,717.185,0,0.61133,4,0.337181,0.621097,0.378903,3203,944,1006,34,392,116,133,3,343,109,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,13,2,-53132.95244,0,16,0,0,0,0,3.4,44.52,0.27,74.43,524.37,0
4cmu_IV7_A_decoys_2,-26.1226,6.31051,7.84944,-8.28648,-0.984352,0,-23.7196,682.717,3,0.621541,1,0.353964,0.65492,0.34508,2035,574,646,16,299,85,93,2,627,171,196,7,0,0,0,0,0,0,0,0,135,41,43,1,0,0,0,0,0,0,0,0,125,36,39,1,0,29,5,0,34,5,-131122.7636,2,12,0,0,0,0,-1.8,40.29,0.15,78.87,377.82,0
4cmu_IV7_A_decoys_3,-22.1521,3.89147,4.13415,-3.09282,0,0,-19.702,756.196,0,0.646529,4,0.36668,0.674236,0.325764,2614,751,803,24,273,75,84,3,589,164,179,6,0,0,0,0,0,0,0,0,88,26,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,9,9,45338.67676,0,14,0,0,0,0,0.2,42.34,0.26,76.66,486.14,0
4cnh_3U9_A_decoys_1,-17.8813,4.5237,4.49292,-2.90194,-0.880452,0,-14.7954,689.571,1,0.572683,2,0.402819,0.765651,0.234349,2033,549,618,23,579,147,178,5,399,103,121,4,0,0,0,0,0,0,0,0,174,42,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,12,1,69249.86823,2,6,0,0,0,0,-8.6,27.11,0.67,97.02,494.26,0
4cnh_3U9_A_decoys_2,-18.3629,3.68233,2.85373,-2.20389,0,0,-16.7838,668.764,0,0.578717,4,0.345793,0.777192,0.222808,2086,560,629,24,448,118,141,5,562,144,175,6,0,0,0,0,0,0,0,0,173,50,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,10,-15691.18841,0,12,0,0,0,0,-9.1,40.17,0.2,88.69,406.58,0
4cnh_3U9_A_decoys_3,-18.4784,7.63265,2.86866,-2.85404,0,0,-14.06,665.647,0,0.542596,2,0.422321,0.7315,0.2685,1988,507,583,28,476,116,154,6,449,113,132,4,0,0,0,0,0,0,0,0,136,36,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,9,9,-1424.128134,1,9,0,0,0,0,-8.8,35.3,0.4,90.54,498.06,0
4cq8_JBW_A_decoys_1,-33.4311,11.2899,6.37711,-0.662108,0,0,-22.4736,655.756,0,0.635714,6,0.282863,0.812249,0.187751,3360,747,746,65,814,181,187,17,210,49,46,5,0,0,0,0,0,0,0,0,168,39,38,3,0,0,0,0,0,0,0,0,0,0,0,0,35,5,12,28,0,4,-44840.28124,0,27,0,0,0,0,-0.1,34.46,0.24,58.12,437.06,0
4cq8_JBW_A_decoys_2,-30.375,6.84672,5.54165,-2.94029,0,0,-23.7866,669.394,1,0.631508,6,0.302008,0.853275,0.146725,2814,633,629,58,206,44,44,4,846,186,183,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,33,35,3,0,0,0,0,36,8,1,30,0,0,18694.09737,1,20,0,0,0,0,0.9,38.6,0,68.54,330.66,0
4cq8_JBW_A_decoys_3,-27.8811,7.58203,4.48751,-0.784637,0,0,-20.9651,689.528,0,0.650336,7,0.251772,0.816124,0.183876,2835,649,644,61,420,89,85,8,617,141,151,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,51,47,3,0,0,0,0,40,3,3,9,0,1,-11878.94208,0,23,0,0,0,0,2.3,38.25,0,62.55,335.04,0
4cst_CWK_A_decoys_1,-15.9707,0.961851,16.5427,-7.24802,0,-3.16455,-8.54235,446.789,3,0.747719,3,0.594047,0.511218,0.488782,1169,295,372,4,350,83,124,0,260,61,83,2,429,121,134,2,0,0,0,0,104,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,0,0,5,96523.61686,3,3,0,0,0,0,-6.8,56.86,0.14,113.65,414.33,0
4cst_CWK_A_decoys_2,-21.1303,3.54113,10.8735,-9.09056,-2.6756,-1.24596,-21.6651,498.435,3,0.72387,3,0.563114,0.603722,0.396278,1799,478,585,4,220,64,79,0,386,102,125,2,0,0,0,0,0,0,0,0,55,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,67,0,3,15,-52275.92612,4,27,1,0,0,0,-6,45.76,0.21,116.21,465.84,0
4cst_CWK_A_decoys_3,-16.7427,2.3347,8.06294,-7.83641,0,-0.645209,-16.9748,497.11,1,0.715228,2,0.546235,0.666771,0.333229,1048,276,341,0,376,106,127,0,202,52,69,0,0,0,0,0,0,0,0,0,244,69,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,53,0,0,2,50675.57762,2,15,2,0,0,0,-6.1,40.15,0.5,110.57,459.91,0
4cv9_W2K_A_decoys_1,-13.6946,2.2737,5.82738,-2.85458,0,0,-9.90439,565.567,0,0.602219,2,0.496213,0.721345,0.278655,1710,474,471,21,248,73,66,2,274,78,73,2,0,0,0,0,0,0,0,0,70,22,18,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,3,0,-50131.37565,0,4,0,0,0,0,-5.2,25.19,0.94,78.95,600.68,0
